ïagno;rbd;dgv_rbd;nom_rbd;mrun;rut_sostenedor;p_juridica;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2016;20081;6;ESCUELA PARTICULAR SAN MATIAS; ;76165255;1;9;91;9102;CARAHUE;92;CAUTIN NORTE;3;2;1;-38.669773;-73.181503;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20082;4;ESCUELA PART.NUESTRA SENORA DEL ROSARIO; ;76155843;1;9;92;9201;ANGOL;91;MALLECO;3;2;0;-37.804852;-72.709167;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20083;2;ESCUELA PARTICULAR ALIWEN;11600176; ;0;9;92;9210;TRAIGUEN;91;MALLECO;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20084;0;ESCUELA PARTICULAR CHIHUIMPILLI; ;76164411;1;9;91;9105;FREIRE;93;CAUTIN SUR;3;2;1;-38.881332;-72.555382;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20085;9;COLEGIO GOLDEN SCHOOL; ;77508140;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.722561;-72.637917;0;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;$50.001 A $100.000
2016;20086;7;JARD-N INFANTIL PUEBLO NUEVO;17795933; ;0;9;91;9103;CUNCO;92;CAUTIN NORTE;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20087;5;ESCUELA ARCO IRIS; ;65115189;1;9;92;9207;LUMACO;91;MALLECO;3;2;1;-38.303574;-72.938538;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20088;3;ESCUELA POETISA GABRIELA MISTRAL; ;76145659;1;9;91;9102;CARAHUE;92;CAUTIN NORTE;3;2;1;-38.678806;-73.18087;1;110;0;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20089;1;C.E.I.A VILCUN; ;65115424;1;9;91;9119;VILCUN;92;CAUTIN NORTE;3;2;0;-38.697334;-72.367554;1;165;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20090;5;COLEGIO LEONARDO DA VINCI SCHOOL; ;77213650;1;9;91;9114;PITRUFQUEN;93;CAUTIN SUR;3;2;0;-38.99408;-72.624519;0;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;$50.001 A $100.000
2016;20091;3;COLEGIO PUMAHUE; ;96891540;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;4;3;0;-38.740189;-72.651031;0;10;110;310;0;0;0;0;0;0;1;1;1; ;MAS DE $100.000;MAS DE $100.000
2016;20092;1;JARDIN INFANTIL BICHITOS;14808284; ;0;9;91;9101;TEMUCO;92;CAUTIN NORTE;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION
2016;20094;8;ESCUELA PARTICULAR LA ESPERANZA; ;76097292;1;9;91;9117;TEODORO SCHMIDT;93;CAUTIN SUR;3;2;1;-39.005714;-73.124191;0;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20095;6;COLEGIO CAMILO HENRIQUEZ DE PEDREGOSO; ;76013025;1;9;91;9120;VILLARRICA;93;CAUTIN SUR;3;2;1;-39.15873;-72.284767;1;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20096;4;COLEGIO BETANIA; ;78920240;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.723225;-72.577003;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20097;2;ESCUELA ESPECIAL ALFONSO RECART; ;65115045;1;9;91;9120;VILLARRICA;93;CAUTIN SUR;3;2;0;-39.167759;-72.284019;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20098;0;ESCUELA FEDERICO GARCIA LORCA; ;76163695;1;9;92;9205;LONQUIMAY;91;MALLECO;3;2;1;-38.202896;-71.183067;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20099;9;ESCUELA ALIWEN DE LLAMUCO; ;76143511;1;9;91;9119;VILCUN;92;CAUTIN NORTE;3;2;1;-38.6796;-72.477921;0;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20100;6;COLEGIO CONGREGACIÃN OLIVOS; ;76159742;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.730141;-72.566727;0;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20101;4;JARDIN INFANTIL LAS LOMITAS; ;77319110;1;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION
2016;20102;2;ESCUELA ESPECIAL HOSPITALARIA TEMUCO; ;76039789;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.73917;-72.566017;0;10;110;310;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20103;0;LICEO MUNICIPAL LUMACO; ;69180800;1;9;92;9207;LUMACO;91;MALLECO;2;1;0;-38.193745;-72.995468;1;310;410;510;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20104;9;C.E.I.A. SAN MIGUEL; ;75966500;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20105;7;LICEO PARTICULAR QUINENAHUIN; ;70019812;1;9;91;9104;CURARREHUE;93;CAUTIN SUR;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20106;5;JARDIN INFANTIL MI MUNDO; ;77556430;1;9;92;9210;TRAIGUEN;91;MALLECO;3;2;0;-38.261585;-72.667236;0;10;0;0;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;$1.000 A $10.000
2016;20107;3;JARDIN INFANTIL GABRIELA MISTRAL; ;69180100;1;9;92;9201;ANGOL;91;MALLECO;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
