ïagno;rbd;dgv_rbd;nom_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2015;9004;2;COLEGIO UNIVERSITARIO INGLES;13;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;4;3;0;-33.427067;-70.622169;0;10;110;310;0;0;0;0;0;0;1;1;2; ;MÃS DE $100.000;MÃS DE $100.000
2015;10748;4;ESCUELA EMILIA LASCAR;13;136;13605;PEÃAFLOR;135;TALAGANTE;2;1;0;-33.606049;-70.89904;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;25961;6;COLEGIO PALMARES;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;-33.357258;-70.737373;0;10;110;310;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;$50.001 A $100.000
2015;9077;8;COMPLEJO EDUC.MUN. BRIGIDA  WALKER.;13;131;13120;ÃUÃOA;133;SANTIAGO ORIENTE;1;1;0;-33.461716;-70.623787;0;110;310;410;510;610;0;0;0;0;1;1;7;NO SE EXCLUYE POR RELIGION Y SE INTEGRAN TODAS;$1.000 A $10.000;$1.000 A $10.000
2015;24959;9;COMPL.EDUCACIONAL BRIGIDA WALKER  ANEXO;13;131;13120;ÃUÃOA;133;SANTIAGO ORIENTE;1;1;0;-33.467361;-70.619728;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;24920;3;ESC. BAS. PART. ALBERT SCHWITZER LA FLORIDA;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;-33.56374;-70.576073;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$25.001 A $50.000
2015;3080;5;ESCUELA SAN VALERIANO;7;71;7109;SAN CLEMENTE;72;TALCA;2;1;1;-35.538788;-71.531273;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;10915;0;COLEGIO CARDENAL ANTONIO SAMORE;15;151;15101;ARICA;151;ARICA;3;2;0;-18.491829;-70.277191;1;10;110;310;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;3267;0;ESCUELA GRACIELA LETELIER;7;74;7401;LINARES;73;LINARES;2;1;1;-35.831379;-71.513649;1;10;110;363;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;3340;5;ESCUELA LA GUARDIA;7;74;7402;COLBUN;73;LINARES;2;1;1;-35.673462;-71.393372;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1710;8;CENTRO DE EDUCACION DE ADULTOS;5;51;5109;VIÃA DEL MAR;53;VALPARAISO;1;1;0;-33.037491;-71.520073;0;167;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;7940;5;ESCUELA RURAL PARGA;10;101;10104;FRESIA;101;LLANQUIHUE;2;1;1;-41.218349;-73.48822;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;16868;8;ESCUELA ESPECIAL DE LENGUAJE COMUNICA;10;103;10301;OSORNO;103;OSORNO;3;2;0;-40.575878;-73.123131;0;214;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACIÃN;SIN INFORMACIÃN
2015;1864;3;COMPLEJO EDUCACIONAL SARGENTO ALDEA;5;51;5105;PUCHUNCAVI;53;VALPARAISO;2;1;0;-32.741962;-71.485657;1;10;110;165;310;363;410;510;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;40296;6;RAICES DE QUELLON;10;102;10208;QUELLON;102;CHILOE;3;2;0;-43.059036;-73.626999;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1523;7;ESCUELA NACIONES UNIDAS;5;51;5101;VALPARAISO;53;VALPARAISO;1;1;0;-33.048199;-71.650284;0;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5796;7;ESCUELA PARTICULAR DOCTOR MUHAJIR;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;1;-38.730125;-72.759247;1;10;110;0;0;0;0;0;0;0;1;1;7;BAHAI;GRATUITO;GRATUITO
2015;1525;3;INSTITUTO TECN.PROF.MARITIMO DE VALPSO;5;51;5101;VALPARAISO;53;VALPARAISO;1;1;0;-33.031822;-71.636879;1;510;610;810;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;$10.001 A $25.000
2015;8757;2;COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;4;3;0;-33.447483;-70.664238;0;10;110;310;0;0;0;0;0;0;1;1;2; ;MÃS DE $100.000;MÃS DE $100.000
2015;12945;3;ESCUELA ECOLOGICA PADRE ALBERTO HURTADO;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0;-23.588455;-70.383141;1;110;0;0;0;0;0;0;0;0;1;1;7;CATÃLICA - EVANGÃLICA;GRATUITO;GRATUITO
2015;5690;1;ESCUELA PARTICULAR LA ESPIGA;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.728718;-72.608917;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;580;0;COLEGIO GERONIMO RENDIC;4;41;4101;LA SERENA;41;ELQUI;3;2;0;-29.904333;-71.243462;0;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;$50.001 A $100.000
2015;1414;1;COLEGIO LEONARDO DA VINCI;5;55;5504;LA CRUZ;51;QUILLOTA;2;1;0;-32.849751;-71.230629;0;10;110;165;310;363;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;3741;9;CENTRO EDUCACIÃN INTEGRAL ADULTOS CLAUDIO MATTE PÃREZ;8;84;8416;SAN CARLOS;81;ÃUBLE;2;1;0;-36.430401;-71.959824;1;167;363;463;563;663;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;7646;5;ESCUELA ROTARIO PEDRO AVELINO BRAVO;10;101;10101;PUERTO MONTT;101;LLANQUIHUE;2;1;0;-41.467346;-72.974762;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5479;8;ESC. BASICA CHANCO;9;92;9207;LUMACO;91;MALLECO;2;1;1;-38.260555;-72.93309;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1280;7;ESCUELA 21 DE MAYO;5;57;5701;SAN FELIPE;52;LOS ANDES;2;1;0;-32.694328;-70.765213;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;5163;2;ESCUELA GRANO DE TRIGO;8;82;8204;CONTULMO;84;ARAUCO;2;1;1;-38.170341;-73.198189;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5589;1;ESCUELA MILLARAY;9;91;9101;TEMUCO;92;CAUTIN NORTE;2;1;0;-38.737736;-72.623199;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;5473;9;ESC. BASICA QUETRAHUE;9;92;9207;LUMACO;91;MALLECO;2;1;1;-38.179405;-72.827759;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;6793;8;ESCUELA RURAL HUELLELHUE;14;141;14101;VALDIVIA;141;VALDIVIA;2;1;1;-39.792294;-73.122467;0;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;6501;3;ESCUELA BASICA KIM RUKA;9;91;9102;CARAHUE;92;CAUTIN NORTE;2;1;0;-38.710567;-73.157387;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;25698;6;COLEGIO JAIME GUZMÃN ERRAZURIZ;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;0;-33.595566;-70.675858;1;10;110;165;363;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;10280;6;CENTRO EDUC. POETA EUSEBIO LILLO;13;131;13104;CONCHALI;137;SANTIAGO NORTE;1;1;0;-33.377502;-70.693329;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;8819;6;LICEO RAFAEL SOTOMAYOR;13;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;3;2;0;-33.395164;-70.554169;0;10;110;310;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;$25.001 A $50.000
2015;25437;1;ESC. BASICA Y ESP.  EL NAZARENO;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;-33.529713;-70.653259;0;10;212;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;8895;1;COLEGIO DALCAHUE;13;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0;-33.425217;-70.587448;0;110;310;0;0;0;0;0;0;0;1;1;1; ;MÃS DE $100.000;MÃS DE $100.000
2015;9206;1;COLEGIO PARTICULAR NUMERO DOS DE NUÃOA;13;131;13120;ÃUÃOA;133;SANTIAGO ORIENTE;3;2;0;-33.470055;-70.579002;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$10.001 A $25.000
