RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
134,23,847021000,132531000.0,0.782608695652174,91.30434782608695,96.52173913043478,80.2,0,0,0,LICEO ATENEA,LICEO ATENEA,IQUIQUE,3,0,1,339,110,both,2498587.0206489675,True
144,8,140287927,140287927.0,0.0,50.125,71.0,56.9,0,0,0,COLEGIO IQUIQUE YOUNG SCHOOL,COLEGIO IQUIQUE YOUNG SCHOOL,IQUIQUE,3,0,1,357,110,both,392963.38095238095,True
154,12,27000100,27000100.0,0.25,77.08333333333333,95.08333333333333,79.5,0,0,0,ESCUELA BASICA FRONTERIZA,ESCUELA BASICA FRONTERIZA,HUARA,2,1,1,39,110,both,692310.2564102564,True
160,12,31000000,28000000.0,0.5833333333333334,64.66666666666667,70.58333333333333,80.9,0,0,0,ESCUELA PACHICA,ESCUELA PACHICA,HUARA,2,1,1,47,10,both,659574.4680851063,True
161,11,91000000,90000000.0,0.0,72.72727272727273,96.72727272727273,68.2,0,0,0,LICEO DE HUARA,LICEO DE HUARA,HUARA,2,1,1,506,10,both,179841.89723320157,True
162,10,32000000,32000000.0,0.2,62.5,79.3,83.0,0,0,0,ESCUELA SIBAYA,ESCUELA SIBAYA,HUARA,2,1,1,53,110,both,603773.5849056604,True
165,8,700000,700000.0,1.0,100.0,100.0,100.0,0,0,0,ESCUELA CHUSMIZA,ESCUELA CHUSMIZA,HUARA,2,1,1,2,110,both,350000.0,True
167,16,141500000,92500000.0,0.4375,79.6875,93.1875,85.0,0,0,0,ESCUELA CAMINA,ESCUELA CAMINA,CAMIÑA,2,1,1,153,10,both,924836.6013071896,True
168,9,3025000,3025000.0,0.7777777777777778,83.33333333333333,88.66666666666667,100.0,0,0,0,ESCUELA CUISAMA,ESCUELA CUISAMA,CAMIÑA,2,1,1,4,110,both,756250.0,True
169,12,2050000,2050000.0,0.6666666666666666,83.33333333333333,91.33333333333333,80.0,0,0,0,ESCUELA QUISTAGAMA,ESCUELA QUISTAGAMA,CAMIÑA,2,1,1,5,110,both,410000.0,True
170,12,4100000,4100000.0,0.8333333333333334,87.58333333333333,91.5,87.5,0,0,0,ESCUELA NAMA,ESCUELA NAMA,CAMIÑA,2,1,1,8,110,both,512500.0,True
171,13,2650000,2650000.0,0.9230769230769231,94.23076923076923,96.07692307692308,28.6,0,0,0,ESCUELA APAMILCA,ESCUELA APAMILCA,CAMIÑA,2,1,1,7,110,both,378571.4285714286,True
172,12,2180000,2180000.0,0.6666666666666666,77.08333333333333,83.08333333333333,57.1,0,0,0,ESCUELA CHAPIQUILTA,ESCUELA CHAPIQUILTA,CAMIÑA,2,1,1,7,110,both,311428.5714285714,True
173,12,1350000,950000.0,0.8333333333333334,83.5,87.33333333333333,75.0,0,0,0,ESCUELA MOQUELLA,ESCUELA MOQUELLA,CAMIÑA,2,1,1,12,110,both,112500.0,True
174,17,3800000,3300000.0,0.9411764705882353,95.58823529411765,97.0,81.8,0,0,0,ESCUELA FRANCIA,ESCUELA FRANCIA,CAMIÑA,2,1,1,22,110,both,172727.27272727274,True
