numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
78,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,33,3,26,sin_comodato_33_3_26,Los Andes,Samsung A8/T295,6007
79,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,33,3,27,sin_comodato_33_3_27,Los Andes,Samsung A8/T295,6007
80,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,33,3,28,sin_comodato_33_3_28,Los Andes,Samsung A8/T295,6007
81,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,33,3,29,sin_comodato_33_3_29,Los Andes,Samsung A8/T295,6007
82,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,34,4,2,sin_comodato_34_4_2,Los Andes,Samsung A8/T295,6007
83,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,34,4,3,sin_comodato_34_4_3,Los Andes,Samsung A8/T295,6007
84,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,34,4,4,sin_comodato_34_4_4,Los Andes,Samsung A8/T295,6007
85,Liceo Los Andes,143,2021-06-03,427,2021-05-04,Tablet,No existe comodato,GALAXY TABLET A 8 2019 LTE,34,4,5,sin_comodato_34_4_5,Los Andes,Samsung A8/T295,6007
86,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,6,sin_comodato_34_4_6,Los Andes,Lenovo P11 + teclado/lápiz,6007
87,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,7,sin_comodato_34_4_7,Los Andes,Lenovo P11 + teclado/lápiz,6007
88,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,8,sin_comodato_34_4_8,Los Andes,Lenovo P11 + teclado/lápiz,6007
89,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,9,sin_comodato_34_4_9,Los Andes,Lenovo P11 + teclado/lápiz,6007
90,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,10,sin_comodato_34_4_10,Los Andes,Lenovo P11 + teclado/lápiz,6007
91,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,11,sin_comodato_34_4_11,Los Andes,Lenovo P11 + teclado/lápiz,6007
92,Liceo Los Andes,230,2021-09-09,13995,2021-07-28,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,34,4,12,sin_comodato_34_4_12,Los Andes,Lenovo P11 + teclado/lápiz,6007
93,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,13,sin_comodato_34_4_13,Cumcumllaque,Mlab 7,6012
94,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,14,sin_comodato_34_4_14,Cumcumllaque,Mlab 7,6012
95,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,15,sin_comodato_34_4_15,Cumcumllaque,Mlab 7,6012
96,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,16,sin_comodato_34_4_16,Cumcumllaque,Mlab 7,6012
97,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,17,sin_comodato_34_4_17,Cumcumllaque,Mlab 7,6012
98,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,18,sin_comodato_34_4_18,Cumcumllaque,Mlab 7,6012
99,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,19,sin_comodato_34_4_19,Cumcumllaque,Mlab 7,6012
100,Cumcumllaque,401,2020-12-30,7907,2020-04-06,Tablet,No existe comodato,MLAB TABLET QUAD CORE,34,4,20,sin_comodato_34_4_20,Cumcumllaque,Mlab 7,6012
